Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,Isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR15084902,RNA-Seq,364,148902662,PRJNA743179,SAMN20003964,Viral,75586107,MAX PLANCK INSTITUTE FOR DYNAMICS OF COMPLEX TECHNICAL SYSTEMS MAGDEBURG,2019-01-01,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX11394819,Germany,Europe,Germany,Homo sapiens,Illumina MiSeq,A/Puerto Rico/8/34,Lab adapted strain,8hpi,PAIRED,PCR,GENOMIC,Influenza A virus,ILLUMINA,2021-07-09T00:00:00Z,Seed virus,SRP327649
SRR15084903,RNA-Seq,372,158759698,PRJNA743179,SAMN20003964,Viral,82137176,MAX PLANCK INSTITUTE FOR DYNAMICS OF COMPLEX TECHNICAL SYSTEMS MAGDEBURG,2019-01-01,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX11394818,Germany,Europe,Germany,Homo sapiens,Illumina MiSeq,A/Puerto Rico/8/34,Lab adapted strain,5.5hpi,PAIRED,PCR,GENOMIC,Influenza A virus,ILLUMINA,2021-07-09T00:00:00Z,Seed virus,SRP327649
SRR15084904,RNA-Seq,408,222289193,PRJNA743179,SAMN20003964,Viral,112756133,MAX PLANCK INSTITUTE FOR DYNAMICS OF COMPLEX TECHNICAL SYSTEMS MAGDEBURG,2019-01-01,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX11394817,Germany,Europe,Germany,Homo sapiens,Illumina MiSeq,A/Puerto Rico/8/34,Lab adapted strain,5hpi,PAIRED,PCR,GENOMIC,Influenza A virus,ILLUMINA,2021-07-09T00:00:00Z,Seed virus,SRP327649
SRR15084905,RNA-Seq,407,170690750,PRJNA743179,SAMN20003964,Viral,87662424,MAX PLANCK INSTITUTE FOR DYNAMICS OF COMPLEX TECHNICAL SYSTEMS MAGDEBURG,2019-01-01,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX11394816,Germany,Europe,Germany,Homo sapiens,Illumina MiSeq,A/Puerto Rico/8/34,Lab adapted strain,4.5hpi,PAIRED,PCR,GENOMIC,Influenza A virus,ILLUMINA,2021-07-09T00:00:00Z,Seed virus,SRP327649
SRR15084906,RNA-Seq,392,174362794,PRJNA743179,SAMN20003964,Viral,88851198,MAX PLANCK INSTITUTE FOR DYNAMICS OF COMPLEX TECHNICAL SYSTEMS MAGDEBURG,2019-01-01,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX11394815,Germany,Europe,Germany,Homo sapiens,Illumina MiSeq,A/Puerto Rico/8/34,Lab adapted strain,4dpi,PAIRED,PCR,GENOMIC,Influenza A virus,ILLUMINA,2021-07-09T00:00:00Z,Seed virus,SRP327649
SRR15084907,RNA-Seq,407,147882587,PRJNA743179,SAMN20003964,Viral,73611253,MAX PLANCK INSTITUTE FOR DYNAMICS OF COMPLEX TECHNICAL SYSTEMS MAGDEBURG,2019-01-01,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX11394814,Germany,Europe,Germany,Homo sapiens,Illumina MiSeq,A/Puerto Rico/8/34,Lab adapted strain,3.5dpi,PAIRED,PCR,GENOMIC,Influenza A virus,ILLUMINA,2021-07-09T00:00:00Z,Seed virus,SRP327649
SRR15084908,RNA-Seq,379,204878638,PRJNA743179,SAMN20003964,Viral,102406769,MAX PLANCK INSTITUTE FOR DYNAMICS OF COMPLEX TECHNICAL SYSTEMS MAGDEBURG,2019-01-01,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX11394813,Germany,Europe,Germany,Homo sapiens,Illumina MiSeq,A/Puerto Rico/8/34,Lab adapted strain,1.4dpi,PAIRED,PCR,GENOMIC,Influenza A virus,ILLUMINA,2021-07-09T00:00:00Z,Seed virus,SRP327649
SRR15084909,RNA-Seq,331,129001772,PRJNA743179,SAMN20003964,Viral,64088601,MAX PLANCK INSTITUTE FOR DYNAMICS OF COMPLEX TECHNICAL SYSTEMS MAGDEBURG,2019-01-01,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX11394812,Germany,Europe,Germany,Homo sapiens,Illumina MiSeq,A/Puerto Rico/8/34,Lab adapted strain,21dpi,PAIRED,PCR,GENOMIC,Influenza A virus,ILLUMINA,2021-07-09T00:00:00Z,Seed virus,SRP327649
SRR15084910,RNA-Seq,355,184637152,PRJNA743179,SAMN20003964,Viral,94293869,MAX PLANCK INSTITUTE FOR DYNAMICS OF COMPLEX TECHNICAL SYSTEMS MAGDEBURG,2019-01-01,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX11394811,Germany,Europe,Germany,Homo sapiens,Illumina MiSeq,A/Puerto Rico/8/34,Lab adapted strain,20.4dpi,PAIRED,PCR,GENOMIC,Influenza A virus,ILLUMINA,2021-07-09T00:00:00Z,Seed virus,SRP327649
SRR15084911,RNA-Seq,375,190023451,PRJNA743179,SAMN20003964,Viral,95456839,MAX PLANCK INSTITUTE FOR DYNAMICS OF COMPLEX TECHNICAL SYSTEMS MAGDEBURG,2019-01-01,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX11394810,Germany,Europe,Germany,Homo sapiens,Illumina MiSeq,A/Puerto Rico/8/34,Lab adapted strain,20dpi,PAIRED,PCR,GENOMIC,Influenza A virus,ILLUMINA,2021-07-09T00:00:00Z,Seed virus,SRP327649
